label,verbose,type,default,unit,model,help_text
name,Project Name,str,,,Project,
description,Project Description,str,,,Project,
interest_rate,,float,4.2,%,Project,"The interest rate in investment calculations signifies the cost of capital and the potential return from an alternative investment of similar risk. It helps express the time value of money, crucial for determining the present value of future cash flows. This assists in evaluating and comparing investment opportunities. Default value of 12.3% is taken from World Bank reported average lending interest rate data of 2022. Please make sure to check this value for your project."
lifetime,Project Lifetime,int,25,Years,Project,"The period during which the system will be in operation. Components whose lifetime is below that of the project lifetime must be replaced during operation, which will be taken into account in the cost calculation. In addition, the residual value of the components is determined at the end of the project lifetime."
n_days,Simulation Period,int,365,Days,Project,"Number of days used for the modelling period. For economic calculations, the project lifetime will be used."
country,Project Country,str,TH,,Project,"Country for the project. The country will be used to center map features on the correct location, but will have no impact on the default demand profiles used, which are specific to Nigeria."
currency,Currency,str,EUR,,Project,"Currency used for all cost calculations."
exchange_rate,Exchange Rate,float,1.0,,Project,"Exchange rate relative to the base currency."
low,,float,0.09,%,CustomDemand,Percentage of households with low demand (1.1kWh/hh/day)
middle,,float,0.58,%,CustomDemand,Percentage of households with middle demand  (2.2kWh/hh/day)
high,,float,0.33,%,CustomDemand,Percentage of households with high demand (2.5kWh/hh/day)
annual_total_consumption,Set Total Annual Consumption,float,,kWh,CustomDemand,The demand curve will be scaled to meet the given total demand
annual_peak_consumption,Set Peak Demand,float,,kW,CustomDemand,The demand curve will be scaled to meet the given peak demand
distribution_cable_lifetime,Lifetime,int,25,Years,GridDesign,"Lifespan of the component, after expiration a replacement investment must be made"
distribution_cable_capex,CapEx,float,13,currency/m,GridDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
distribution_cable_max_length,Max. Length,float,50,m,GridDesign,Maximum allowed length of the distribution cable
connection_cable_lifetime,Lifetime,int,25,Years,GridDesign,"Lifespan of the component, after expiration a replacement investment must be made"
connection_cable_capex,CapEx,float,3.5,currency/m,GridDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
connection_cable_max_length,Max. Length,float,20,m,GridDesign,Maximum allowed length of the connection cable
pole_lifetime,Lifetime,int,25,Years,GridDesign,"Lifespan of the component, after expiration a replacement investment must be made"
pole_capex,CapEx,float,676,currency/m,GridDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
pole_max_n_connections,Max. Number of Connections,int,5,n,GridDesign,Maximum number of consumers that can be connected to one pole
mg_connection_cost,Connection Cost,float,3,currency/con,GridDesign,Costs that arise when connecting a consumer in addition to the material costs of the cable.
include_shs,Solar Home Systems,bool,True,,GridDesign,"For each consumer, specific costs of grid connection are calculated and related to the consumer's consumption. If the threshold value is exceeded, a grid connection is forgone and instead a solar home system is recommended"
shs_max_grid_cost,Max. Specific Grid Cost,float,0.6,currency/kWh,GridDesign,"For each consumer, specific costs of grid connection are calculated and related to the consumer's consumption. If the threshold value is exceeded, a grid connection is forgone and instead a solar home system is recommended"
battery_settings_is_selected,Battery,bool,True,,EnergySystemDesign,
battery_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
battery_parameters_nominal_capacity,Capacity,float,,kWh,EnergySystemDesign,
battery_parameters_lifetime,Lifetime,int,10,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
battery_parameters_capex,CapEx,float,540,currency/kWh,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
battery_parameters_opex,OpEx,float,5,currency/kW/year,EnergySystemDesign,Operating Expense (OpEx) is the cost associated with the operation of the component
battery_parameters_soc_min,Min. SOC,float,15,%,EnergySystemDesign,Minimum State of Charge (SOC) of a battery refers to the lowest level at which the battery is allowed to discharge in order to prevent damage and prolong its lifespan
battery_parameters_soc_max,Max. SOC,float,100,%,EnergySystemDesign,Maximum State of Charge (SOC) of a battery refers to the highest level at which the battery can be safely charged to prevent overcharging and ensure longevity
battery_parameters_c_rate_in,C-Rate in,float,1,-,EnergySystemDesign,
battery_parameters_c_rate_out,C-Rate out,float,1,-,EnergySystemDesign,
battery_parameters_efficiency,Roundtrip Efficiency,float,90,%,EnergySystemDesign,
diesel_genset_settings_is_selected,Diesel Genset,bool,True,,EnergySystemDesign,
diesel_genset_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
diesel_genset_parameters_nominal_capacity,Capacity,float,,kW,EnergySystemDesign,
diesel_genset_parameters_lifetime,Lifetime,int,8,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
diesel_genset_parameters_capex,CapEx,float,500,currency/kW,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
diesel_genset_parameters_opex,OpEx,float,21,currency/kW/year,EnergySystemDesign,"Operating Expense (OpEx) refers to the fixed annual costs incurred in the operation of a component, specifically excluding fuel and other variable expenses"
diesel_genset_parameters_variable_cost,Variable Cost,float,0.02,currency/kWh,EnergySystemDesign,"Variable cost refers to the variable annual costs incurred in the operation of a component, e.g. fuel and other variable expenses that are dependent on the amount of produced electricity."
diesel_genset_parameters_fuel_cost,Fuel Cost,float,0.81,currency/L,EnergySystemDesign,
diesel_genset_parameters_fuel_lhv,Fuel LHV,float,11.8,kWh/kg,EnergySystemDesign,kWh produced by combustion of kg of fuel
diesel_genset_parameters_min_efficiency,Min. Efficiency,float,22,%,EnergySystemDesign,
diesel_genset_parameters_max_efficiency,Max. Efficiency,float,30,%,EnergySystemDesign,
diesel_genset_parameters_min_load,Min. Load,float,25,%,EnergySystemDesign,
diesel_genset_parameters_max_load,Max. Load,float,100,%,EnergySystemDesign,
inverter_settings_is_selected,Inverter,bool,True,,EnergySystemDesign,
inverter_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
inverter_parameters_nominal_capacity,Capacity,float,,kW,EnergySystemDesign,
inverter_parameters_lifetime,Lifetime,int,25,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
inverter_parameters_capex,CapEx,float,415,currency/kW,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
inverter_parameters_opex,OpEx,float,9,currency/kW/year,EnergySystemDesign,Operating Expense (OpEx) is the cost associated with the operation of the component
inverter_parameters_efficiency,Efficiency,float,95,%,EnergySystemDesign,
pv_settings_is_selected,PV,bool,True,,EnergySystemDesign,
pv_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
pv_parameters_nominal_capacity,Capacity,float,,kWp,EnergySystemDesign,
pv_parameters_lifetime,Lifetime,int,25,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
pv_parameters_capex,CapEx,float,845,currency/kWp,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
pv_parameters_opex,OpEx,float,8.45,currency/kWp/year,EnergySystemDesign,Operating Expense (OpEx) is the cost associated with the operation of the component
rectifier_settings_is_selected,Rectifier,bool,True,,EnergySystemDesign,
rectifier_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
rectifier_parameters_nominal_capacity,Capacity,float,,kW,EnergySystemDesign,
rectifier_parameters_lifetime,Lifetime,int,25,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
rectifier_parameters_capex,CapEx,float,415,currency/kW,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
rectifier_parameters_opex,OpEx,float,0,currency/kW/year,EnergySystemDesign,Operating Expense (OpEx) is the cost associated with the operation of the component
rectifier_parameters_efficiency,Efficiency,float,95,%,EnergySystemDesign,
shortage_settings_is_selected,Shortage,bool,False,,EnergySystemDesign,
shortage_parameters_max_shortage_total,Max. Total Shortage,float,10,%,EnergySystemDesign,
shortage_parameters_max_shortage_timestep,Max. Shortage Each Timestep,float,20,%,EnergySystemDesign,
shortage_parameters_shortage_penalty_cost,Shortage Penalty Cost,float,0.8,currency/kWh,EnergySystemDesign,
h2_storage_settings_is_selected,H2 Storage,bool,True,,EnergySystemDesign,
h2_storage_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
h2_storage_parameters_nominal_capacity,Capacity,float,,kWh,EnergySystemDesign,
h2_storage_parameters_lifetime,Lifetime,int,30,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
h2_storage_parameters_capex,CapEx,float,4000,currency/kg,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
h2_storage_parameters_opex,OpEx,float,40,currency/kg/year,EnergySystemDesign,Operating Expense (OpEx) is the cost associated with the operation of the component
h2_storage_parameters_soc_min,Min. SOC,float,5,%,EnergySystemDesign,Minimum State of Charge (SOC) of a storage refers to the lowest level at which the storage is allowed to discharge in order to prevent damage and prolong its lifespan
h2_storage_parameters_soc_max,Max. SOC,float,100,%,EnergySystemDesign,Maximum State of Charge (SOC) of a storage refers to the highest level at which the storage can be safely charged to prevent overcharging and ensure longevity
h2_storage_parameters_efficiency,Efficiency,float,100,%,EnergySystemDesign,
electrolyzer_settings_is_selected,Electrolyzer,bool,True,,EnergySystemDesign,
electrolyzer_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
electrolyzer_parameters_nominal_capacity,Capacity,float,,kW,EnergySystemDesign,
electrolyzer_parameters_lifetime,Lifetime,int,10,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
electrolyzer_parameters_capex,CapEx,float,5000,currency/kW,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
electrolyzer_parameters_opex,OpEx,float,50,currency/kg/year,EnergySystemDesign,"Operating Expense (OpEx) refers to the fixed annual costs incurred in the operation of a component, specifically excluding fuel and other variable expenses"
electrolyzer_parameters_variable_cost,Variable Cost,float,0.02,currency/kWh,EnergySystemDesign,"Variable cost refers to the variable annual costs incurred in the operation of a component, e.g. fuel and other variable expenses that are dependent on the amount of produced electricity."
electrolyzer_parameters_efficiency,Efficiency,float,65,%,EnergySystemDesign,
fuel_cell_settings_is_selected,Fuel Cell,bool,True,,EnergySystemDesign,
fuel_cell_settings_design,Optimize Capacity,bool,True,,EnergySystemDesign,
fuel_cell_parameters_nominal_capacity,Capacity,float,,kW,EnergySystemDesign,
fuel_cell_parameters_lifetime,Lifetime,int,10,Years,EnergySystemDesign,"Lifespan of the component, after expiration a replacement investment must be made"
fuel_cell_parameters_capex,CapEx,float,5250,currency/kW,EnergySystemDesign,Capital Expenditure (CapEx) is the money that has to be spent to purchase the component
fuel_cell_parameters_opex,OpEx,float,52.2,currency/kg/year,EnergySystemDesign,"Operating Expense (OpEx) refers to the fixed annual costs incurred in the operation of a component, specifically excluding fuel and other variable expenses"
fuel_cell_parameters_variable_cost,Variable Cost,float,0.006,currency/kWh,EnergySystemDesign,"Variable cost refers to the variable annual costs incurred in the operation of a component, e.g. fuel and other variable expenses that are dependent on the amount of produced electricity."
fuel_cell_parameters_fuel_lhv,H2 LHV,float,33.3,kWh/kg,EnergySystemDesign,kWh produced by combustion of kg of fuel
fuel_cell_parameters_efficiency,Efficiency,float,45,%,EnergySystemDesign,
